Rank,Name,City,Position,Points,Games,Minutes,Rebounds,Assists,Steal,Block
227,Zach Collins,Chi,F-C,27.4,19,21,17.4,2,0.7,0.6
228,Luke Kennard,Mem,G,28.8,58,22.8,14.4,3.4,0.8,0.1
229,Tosan Evbuomwan,Bro,F,24.1,21,23.9,15.9,1.6,0.8,0.3
230,Anthony Black,Orl,G,21.2,70,24,18.5,3.1,1,0.6
231,Julian Strawther,Den,G,22.9,61,22.1,10.8,1.3,0.6,0.2
232,Miles McBride,Nyk,G,24.5,59,24.9,7.3,2.9,0.9,0.3
233,Dalton Knecht,Lal,F,23.9,70,20,6.2,0.9,0.3,0.1
234,Kevin Porter Jr.,Lac,G-F,24.9,45,19.6,17.1,3.2,1,0.2
235,Zach Edey,Mem,C,22.9,58,20.6,15.9,0.9,0.5,1.2
236,Nickeil Alexander-Walker,Min,G,26.6,73,25.1,14.4,2.5,0.6,0.4
237,Royce O'Neale,Pho,F,31.8,67,24.9,10.6,2.2,1,0.5
238,T.J. McConnell,Ind,G,33,70,17.9,15.1,4.5,1.1,0.2
239,Carlton Carrington,Was,G,19.7,73,29.2,16.1,4.2,0.7,0.2
240,Dereck Lively II,Dal,C,21.1,32,24,18,2.6,0.5,1.7
241,Josh Okogie,Cha,G,26.6,8,20.6,14,1.4,2.5,0.6
242,Caleb Martin,Phi,F,29.5,31,30.4,15.6,2.3,1.1,0.6
243,Dante Exum,Dal,G,29.7,18,19.1,13.2,2.8,0.7,0.2
244,Draymond Green,Gol,F,35.1,58,29.1,25.3,5.7,1.4,1.1
245,Jonas Valanciunas,Sac,C,32.9,23,18.8,13.3,2,0.6,0.7
246,Jalen Hood-Schifino,Phi,G,21.8,6,23.4,10.7,2.3,0.5,0.8
247,Kel'el Ware,Mia,C,20.9,55,21.4,11.7,0.9,0.6,1.1
248,Kyle Filipowski,Uta,C,21.4,64,20,17.6,1.9,0.6,0.2
249,Noah Clowney,Bro,F-C,20.7,45,22.7,11.3,0.9,0.5,0.5
250,Cam Whitmore,Hou,F,20.7,44,16.2,9.6,0.9,0.6,0.3
251,Jalen Wilson,Bro,F,24.4,72,25.5,12.2,1.7,0.5,0.1
252,Killian Hayes,Bro,G,23.7,6,27.1,17.2,5.2,0.7,0.7
253,Wendell Carter Jr.,Orl,C-F,25.9,61,26,13.7,2,0.7,0.6
254,Yves Missi,Nor,C,20.9,67,26.9,15,1.3,0.5,1.4
255,Nick Richards,Cha,C,27.3,21,21,22.4,1.3,0.3,1.2
256,Patrick Williams,Chi,F,23.6,54,25.5,13.5,2,0.8,0.6
257,Clint Capela,Atl,C,30.9,55,21.4,10.7,1.1,0.6,0.9
258,Svi Mykhailiuk,Uta,G-F,27.8,30,19.8,14.9,1.9,0.6,0.2
259,Oshae Brissett,Phi,F-G,26.8,6,23.7,16.9,0.7,0.7,0.5
260,Georges Niang,Cle,F,31.8,51,20.7,12.1,1.3,0.3,0.1
261,Marcus Smart,Mem,G,31.1,19,21.1,19.1,3.7,1.2,0.3
262,Chris Paul,San,G,39.9,72,28,17.8,7.6,1.3,0.2
263,Kyshawn George,Was,F,21.3,64,26.8,15.6,2.5,1,0.8
264,A.J. Lawson,Tor,G,24.7,17,18.5,5.8,0.9,0.4,0.1
265,Jusuf Nurkic,Pho,C,30.6,25,23.7,25.9,1.9,0.9,0.6
266,Kentavious Caldwell-Pope,Orl,G,32.1,70,30.2,9.8,1.8,1.2,0.4
267,Al Horford,Bos,C-F,38.8,56,27.5,9.2,2.1,0.6,0.9
268,Quinten Post,Gol,C,25,34,16.8,11.7,1.5,0.4,0.5
269,Tyrese Martin,Bro,F,26.1,54,21.7,13.5,1.9,0.6,0.1
270,Keon Ellis,Sac,G,25.2,71,23.8,13.7,1.5,1.5,0.8
271,Max Christie,Lal,G,22.1,46,25.1,11.9,1.4,0.8,0.5
272,Jaden Hardy,Dal,G,22.7,51,15.4,16.5,1.3,0.5,0.1
273,Larry Nance Jr.,Atl,F-C,32.2,24,19.3,9.3,1.6,0.8,0.5
274,Jaylen Nowell,Nor,G,25.7,8,21,9.8,2.3,0.1,0.5
275,Bruce Brown,Tor,G-F,28.6,18,19.6,12.6,1.6,0.9,0.2
276,Damion Baugh,Cha,G,24.6,11,26.1,17.3,3.9,1.3,0.1
277,Peyton Watson,Den,G,22.5,61,24.1,11.7,1.4,0.8,1.3
278,Jaime Jaquez Jr.,Mia,G,24.1,60,21.2,18,2.5,0.9,0.2
279,Johnny Juzang,Uta,G,24,56,18.6,6.8,1,0.5,0.1
280,Brandon Clarke,Mem,F,28.5,64,18.9,9.7,1,0.8,0.6
281,Mike Conley,Min,G,37.5,62,24.6,14,4.5,1.2,0.2
282,Isaiah Collier,Uta,G,20.5,66,25.4,28.5,6.1,0.9,0.2
283,Cason Wallace,Okc,G,21.4,62,27.5,10.9,2.5,1.7,0.5
284,Brandon Williams,Dal,G,25.3,30,14.7,16.6,2.3,0.7,0.1
285,Jalen Smith,Chi,F-C,25,59,15.1,8.4,1,0.3,0.7
